,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
110,CHEMBL1320366,COC(=O)c1c(NC(=O)c2ccccc2)sc2c1CC(C)(C)OC2,inactive,345.42000000000024,3.6383000000000028,1.0,5.0,4.698970004336019
111,CHEMBL1700643,Nc1nc2ccccc2n1Cc1ccccc1Cl,inactive,257.72399999999993,3.3202000000000016,1.0,3.0,4.815308569182401
112,CHEMBL1710228,O=C(Nc1ccc(Cl)cc1)c1ccc(CCN2CCc3ccccc3C2)cc1,inactive,390.91400000000016,5.193100000000004,1.0,2.0,4.698970004336019
113,CHEMBL1719980,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CCN4C(C)=O)CC2)cc1,inactive,427.5260000000003,2.309100000000001,0.0,5.0,4.721246399047171
114,CHEMBL1488993,Nc1nc2ccccc2n1CCOc1ccc(Cl)cc1,inactive,287.74999999999994,3.350900000000002,1.0,4.0,4.698970004336019
115,CHEMBL229012,O=C(Nc1sc2c(c1C(=O)O)CCCC2)c1cccs1,inactive,307.39599999999996,3.6389000000000022,2.0,4.0,4.698970004336019
116,CHEMBL1730398,Cc1cc(C(=O)NC2CCCc3c2cnn3-c2ccccc2F)[nH]n1,inactive,339.37399999999997,2.850320000000001,2.0,4.0,4.698970004336019
117,CHEMBL1730320,O=C(C1CC1)N1CCc2cc(S(=O)(=O)N3CCN(c4ccc(Cl)cc4)CC3)ccc21,inactive,445.97200000000015,3.150000000000002,0.0,4.0,4.698970004336019
118,CHEMBL1314048,Nc1nc2ccccc2n1Cc1ccc(Cl)cc1,inactive,257.72399999999993,3.3202000000000016,1.0,3.0,4.931814138253838
119,CHEMBL1701049,O=C(Nc1nc2ccccc2n1Cc1ccccc1Cl)c1ccc(Cl)cc1,inactive,396.27700000000004,5.6437000000000035,1.0,3.0,4.698970004336019
120,CHEMBL1562608,CCC(=O)Nc1nc2ccccc2n1Cc1ccccc1Cl,inactive,313.788,4.086500000000003,1.0,3.0,4.698970004336019
121,CHEMBL1599782,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)CSc1nc2ccccc2c(=O)n1-c1ccc(CC)cc1,inactive,489.5970000000002,5.044740000000004,1.0,7.0,4.920818753952375
122,CHEMBL1562608,CCC(=O)Nc1nc2ccccc2n1Cc1ccccc1Cl,inactive,313.788,4.086500000000003,1.0,3.0,4.698970004336019
123,CHEMBL1491541,CCCc1nc(SCC(=O)N2CCC(Cc3ccccc3)CC2)c2c(=O)n(C)c(=O)n(C)c2n1,inactive,481.6220000000003,2.5531000000000006,0.0,8.0,4.943095148663527
124,CHEMBL1721154,COC(=O)c1c(NC(=O)c2cccc(F)c2)sc2c1CCC(C)C2,inactive,347.41100000000023,4.050900000000003,1.0,4.0,4.698970004336019
125,CHEMBL1328062,Cc1ccc(O)c(N=Cc2cc(Cc3ccccc3)cc([N+](=O)[O-])c2O)c1,inactive,362.3850000000001,4.655820000000004,2.0,5.0,4.698970004336019
126,CHEMBL1412853,Cc1ccc(S(=O)(=O)n2c(N)nc3ccccc32)cc1,inactive,287.34400000000005,2.16392,1.0,5.0,4.698970004336019
127,CHEMBL1731580,CC(C)C(=O)Nc1nc2ccccc2n1Cc1ccc(Cl)cc1,inactive,327.81500000000005,4.332500000000003,1.0,3.0,4.698970004336019
128,CHEMBL1731582,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CCN4C(=O)C3CC3)CC2)cc1,inactive,453.56400000000036,2.699200000000001,0.0,5.0,4.698970004336019
129,CHEMBL1712022,CCOc1ccc(C(=O)NC2CCCc3c2cnn3-c2ccccc2F)cc1,inactive,379.435,4.217500000000003,1.0,4.0,4.732828271596986
130,CHEMBL1532172,O=C(Nc1sc2c(c1C(=O)O)CCCC2)C(=O)N1CCOCC1,inactive,338.3850000000001,1.1224,2.0,5.0,4.698970004336019
131,CHEMBL1342760,Cc1ccc(NC(=O)c2ccc(CN3CCc4ccccc4C3)cc2)cc1,inactive,356.46900000000005,4.805620000000004,1.0,2.0,4.698970004336019
132,CHEMBL1433326,COc1ccc(C(=O)Cn2c(N)nc3ccccc32)cc1,inactive,281.315,2.5100000000000007,1.0,5.0,4.698970004336019
133,CHEMBL1439726,CC1(C)Cc2c(sc(NC(=O)c3ccccc3Cl)c2C(=O)O)CO1,inactive,365.83800000000014,4.203300000000003,2.0,4.0,4.698970004336019
134,CHEMBL1487641,CC(=O)Nc1nc2ccccc2n1Cc1ccccc1,inactive,265.316,3.043000000000001,1.0,3.0,4.698970004336019
